iter	Passed	Remaining
401	13507	20093
402	13540	20058
403	13572	20023
404	13604	19986
405	13635	19949
406	13667	19913
407	13700	19879
408	13732	19843
409	13763	19806
410	13796	19771
411	13827	19735
412	13859	19699
413	13891	19662
414	13922	19625
415	13953	19588
416	13984	19551
417	14016	19515
418	14048	19480
419	14080	19444
420	14114	19411
421	14146	19376
422	14180	19343
423	14214	19309
424	14246	19274
425	14277	19238
426	14310	19204
427	14343	19169
428	14375	19134
429	14408	19099
430	14441	19065
431	14472	19028
432	14505	18994
433	14538	18959
434	14569	18923
435	14601	18887
436	14634	18853
437	14665	18817
438	14698	18783
439	14730	18748
440	14762	18713
441	14794	18676
442	14827	18642
443	14859	18607
444	14890	18570
445	14922	18535
446	14953	18499
447	14986	18465
448	15017	18428
449	15047	18391
450	15078	18354
451	15109	18318
452	15140	18281
453	15171	18245
454	15201	18208
455	15233	18173
456	15264	18136
457	15296	18102
458	15327	18065
459	15357	18027
460	15388	17992
461	15419	17956
462	15450	17919
463	15480	17882
464	15511	17846
465	15543	17811
466	15573	17774
467	15604	17738
468	15634	17701
469	15668	17668
470	15703	17637
471	15734	17601
472	15766	17566
473	15799	17532
474	15830	17496
475	15861	17461
476	15894	17427
477	15926	17392
478	15956	17355
479	15986	17318
480	16016	17282
481	16046	17245
482	16077	17209
483	16110	17176
484	16142	17140
485	16173	17104
486	16207	17072
487	16238	17037
488	16271	17003
489	16304	16969
490	16335	16934
491	16367	16899
492	16400	16866
493	16433	16833
494	16465	16797
495	16497	16763
496	16528	16728
497	16558	16691
498	16589	16655
499	16619	16619
500	16651	16584
501	16683	16550
502	16713	16513
503	16744	16478
504	16775	16443
505	16807	16408
506	16838	16373
507	16871	16339
508	16902	16304
509	16935	16271
510	16969	16238
511	17002	16205
512	17033	16170
513	17065	16135
514	17097	16101
515	17129	16067
516	17161	16033
517	17194	15999
518	17227	15966
519	17259	15931
520	17295	15900
521	17329	15868
522	17363	15836
523	17397	15804
524	17432	15771
525	17466	15739
526	17501	15708
527	17538	15678
528	17571	15645
529	17608	15614
530	17643	15583
531	17678	15551
532	17714	15520
533	17748	15488
534	17783	15456
535	17818	15425
536	17852	15392
537	17887	15360
538	17921	15328
539	17957	15297
540	17993	15265
541	18027	15233
542	18062	15201
543	18098	15171
544	18133	15139
545	18167	15106
546	18203	15074
547	18236	15041
548	18271	15009
549	18326	14994
550	18363	14963
551	18400	14933
552	18435	14901
553	18470	14869
554	18505	14837
555	18538	14803
556	18571	14770
557	18604	14736
558	18637	14703
559	18671	14670
560	18704	14637
561	18739	14605
562	18774	14572
563	18809	14540
564	18843	14507
565	18877	14475
566	18921	14450
567	18954	14415
568	18987	14382
569	19021	14349
570	19054	14315
571	19087	14282
572	19120	14248
573	19154	14216
574	19191	14184
575	19226	14152
576	19259	14119
577	19293	14086
578	19328	14054
579	19365	14023
580	19400	13991
581	19435	13959
582	19470	13926
583	19504	13893
584	19539	13861
585	19573	13828
586	19607	13795
587	19640	13761
588	19672	13727
589	19706	13694
590	19740	13661
591	19772	13627
592	19806	13594
593	19841	13561
594	19875	13528
595	19910	13496
596	19942	13462
597	19978	13430
598	20014	13398
599	20047	13365
600	20080	13331
601	20114	13298
602	20148	13265
603	20183	13232
604	20219	13201
605	20254	13168
606	20288	13135
607	20322	13102
608	20356	13069
609	20392	13037
610	20447	13018
611	20489	12989
612	20538	12966
613	20575	12935
614	20611	12903
615	20646	12870
616	20682	12838
617	20720	12808
618	20756	12775
619	20792	12743
620	20827	12710
621	20860	12677
622	20894	12643
623	20928	12610
624	20961	12577
625	20997	12544
626	21031	12511
627	21066	12478
628	21101	12446
629	21135	12412
630	21170	12379
631	21204	12346
632	21239	12314
633	21275	12282
634	21312	12250
635	21351	12220
636	21388	12188
637	21424	12156
638	21459	12123
639	21496	12091
640	21533	12059
641	21569	12027
642	21611	11998
643	21663	11975
644	21701	11944
645	21735	11910
646	21770	11877
647	21828	11857
648	21870	11828
649	21938	11813
650	21974	11780
651	22014	11749
652	22067	11726
653	22119	11702
654	22162	11673
655	22209	11646
656	22253	11618
657	22303	11592
658	22356	11568
659	22401	11540
660	22456	11516
661	22522	11499
662	22576	11475
663	22623	11447
664	22670	11420
665	22714	11391
666	22757	11361
667	22807	11335
668	22854	11307
669	22891	11275
670	22929	11242
671	22965	11209
672	23001	11176
673	23056	11152
674	23101	11122
675	23139	11090
676	23180	11059
677	23216	11026
678	23253	10993
679	23291	10960
680	23330	10928
681	23369	10896
682	23408	10864
683	23447	10832
684	23488	10801
685	23525	10768
686	23560	10734
687	23597	10701
688	23634	10667
689	23672	10635
690	23708	10601
691	23746	10569
692	23784	10536
693	23818	10502
694	23852	10467
695	23885	10432
696	23921	10398
697	23954	10364
698	24001	10335
699	24034	10300
700	24069	10266
701	24103	10231
702	24136	10197
703	24182	10167
704	24218	10133
705	24251	10098
706	24285	10064
707	24321	10030
708	24354	9995
709	24391	9962
710	24427	9928
711	24464	9895
712	24500	9861
713	24535	9827
714	24570	9793
715	24606	9759
716	24644	9727
717	24679	9693
718	24715	9659
719	24749	9624
720	24785	9591
721	24820	9557
722	24857	9523
723	24896	9490
724	24936	9458
725	24973	9425
726	25010	9391
727	25054	9360
728	25093	9328
729	25147	9300
730	25185	9268
731	25223	9234
732	25260	9201
733	25298	9168
734	25332	9133
735	25380	9103
736	25425	9072
737	25478	9045
738	25514	9011
739	25552	8977
740	25590	8944
741	25627	8910
742	25663	8876
743	25702	8843
744	25739	8810
745	25778	8776
746	25814	8743
747	25856	8711
748	25897	8678
749	25947	8649
750	25992	8618
751	26032	8585
752	26078	8554
753	26131	8525
754	26171	8492
755	26209	8459
756	26247	8425
757	26286	8392
758	26327	8359
759	26367	8326
760	26404	8292
761	26442	8258
762	26494	8229
763	26550	8201
764	26605	8172
765	26644	8139
766	26683	8105
767	26720	8071
768	26758	8038
769	26797	8004
770	26834	7970
771	26868	7935
772	26905	7901
773	26939	7866
774	26974	7831
775	27008	7796
776	27043	7761
777	27078	7726
778	27114	7692
779	27150	7657
780	27190	7624
781	27228	7590
782	27275	7559
783	27318	7526
784	27364	7494
785	27407	7462
786	27448	7428
787	27498	7397
788	27544	7366
789	27582	7332
790	27621	7298
791	27658	7263
792	27692	7228
793	27727	7193
794	27762	7158
795	27797	7124
796	27832	7089
797	27868	7054
798	27905	7019
799	27946	6986
800	27988	6953
801	28023	6918
802	28058	6883
803	28093	6848
804	28130	6814
805	28166	6779
806	28202	6744
807	28236	6709
808	28271	6674
809	28306	6639
810	28341	6604
811	28376	6569
812	28413	6535
813	28447	6500
814	28481	6465
815	28516	6430
816	28553	6395
817	28587	6360
818	28622	6325
819	28657	6290
820	28692	6255
821	28727	6220
822	28762	6185
823	28798	6151
824	28833	6116
825	28867	6080
826	28900	6045
827	28935	6010
828	28970	5975
829	29005	5940
830	29039	5905
831	29073	5870
832	29109	5835
833	29149	5801
834	29186	5767
835	29223	5732
836	29260	5698
837	29296	5663
838	29334	5629
839	29373	5594
840	29410	5560
841	29448	5526
842	29485	5491
843	29534	5458
844	29578	5425
845	29628	5393
846	29673	5360
847	29713	5326
848	29751	5291
849	29788	5256
850	29823	5221
851	29866	5188
852	29905	5153
853	29957	5121
854	29991	5086
855	30025	5050
856	30058	5015
857	30093	4980
858	30127	4945
859	30161	4910
860	30194	4874
861	30228	4839
862	30263	4804
863	30301	4769
864	30337	4734
865	30375	4700
866	30416	4665
867	30454	4631
868	30491	4596
869	30530	4562
870	30568	4527
871	30605	4492
872	30640	4457
873	30686	4423
874	30723	4389
875	30758	4353
876	30794	4319
877	30830	4283
878	30865	4248
879	30899	4213
880	30933	4178
881	30968	4143
882	31005	4108
883	31041	4073
884	31076	4038
885	31113	4003
886	31148	3968
887	31183	3933
888	31218	3897
889	31252	3862
890	31295	3828
891	31331	3793
892	31364	3758
893	31397	3722
894	31431	3687
895	31465	3652
896	31500	3617
897	31534	3581
898	31569	3546
899	31605	3511
900	31642	3476
901	31677	3441
902	31713	3406
903	31749	3371
904	31785	3336
905	31822	3301
906	31858	3266
907	31893	3231
908	31928	3196
909	31963	3161
910	32000	3126
911	32036	3091
912	32073	3056
913	32109	3021
914	32146	2986
915	32181	2951
916	32215	2915
917	32250	2880
918	32286	2845
919	32321	2810
920	32356	2775
921	32393	2740
922	32427	2705
923	32462	2670
924	32497	2634
925	32531	2599
926	32565	2564
927	32601	2529
928	32633	2494
929	32668	2458
930	32707	2424
931	32742	2388
932	32775	2353
933	32808	2318
934	32841	2283
935	32875	2247
936	32909	2212
937	32943	2177
938	32976	2142
939	33010	2107
940	33044	2071
941	33079	2036
942	33113	2001
943	33148	1966
944	33183	1931
945	33217	1896
946	33250	1860
947	33284	1825
948	33317	1790
949	33352	1755
950	33385	1720
951	33420	1685
952	33454	1649
953	33489	1614
954	33524	1579
955	33558	1544
956	33593	1509
957	33627	1474
958	33660	1439
959	33695	1403
960	33729	1368
961	33764	1333
962	33799	1298
963	33833	1263
964	33865	1228
965	33899	1193
966	33934	1158
967	33967	1122
968	34001	1087
969	34035	1052
970	34068	1017
971	34102	982
972	34137	947
973	34171	912
974	34206	877
975	34240	841
976	34276	806
977	34309	771
978	34342	736
979	34379	701
980	34412	666
981	34447	631
982	34480	596
983	34514	561
984	34547	526
985	34580	491
986	34615	455
987	34649	420
988	34684	385
989	34717	350
990	34751	315
991	34784	280
992	34819	245
993	34853	210
994	34891	175
995	34925	140
996	34958	105
997	34993	70
998	35028	35
999	35064	0
