iter	MultiClass
250	1.077485319
251	1.075256687
252	1.07458404
253	1.073335393
254	1.072440335
255	1.070147353
256	1.069686125
257	1.068729842
258	1.068242195
259	1.06712632
260	1.066498875
261	1.06586735
262	1.065180123
263	1.064117985
264	1.062563667
265	1.061609149
266	1.061048811
267	1.060464684
268	1.058063833
269	1.055859293
270	1.054296468
271	1.053997695
272	1.052840813
273	1.051926007
274	1.051453758
275	1.050815072
276	1.049529123
277	1.048683027
278	1.047285495
279	1.045756076
280	1.044753197
281	1.043855595
282	1.042494745
283	1.040826599
284	1.039912252
285	1.037465246
286	1.03668013
287	1.034822272
288	1.03407466
289	1.033185972
290	1.031403644
291	1.029667546
292	1.028445444
293	1.027620188
294	1.025846761
295	1.0251093
296	1.024507478
297	1.023975296
298	1.02341739
299	1.022145886
300	1.021829694
301	1.021217515
302	1.020332423
303	1.018562963
304	1.017704434
305	1.016682084
306	1.014438273
307	1.014019645
308	1.013603769
309	1.012303742
310	1.011409354
311	1.010520427
312	1.01009881
313	1.009396513
314	1.008618887
315	1.006712912
316	1.005902125
317	1.004516055
318	1.003887046
319	1.00190326
320	1.000730293
321	0.9994818619
322	0.9990260336
323	0.9968763975
324	0.9954383943
325	0.9949512198
326	0.9939363728
327	0.9933910762
328	0.9929857943
329	0.9925270924
330	0.9918043952
331	0.9901896685
332	0.9894782424
333	0.9889786427
334	0.9886744374
335	0.9877311273
336	0.986315205
337	0.985787672
338	0.9852844652
339	0.9848734546
340	0.9837037176
341	0.9816653897
342	0.9801997464
343	0.9795231661
344	0.9791606757
345	0.9767166228
346	0.9762997228
347	0.9745472682
348	0.9737978342
349	0.9727133351
350	0.9722141741
351	0.971168494
352	0.9691758541
353	0.9682380762
354	0.9677054692
355	0.967143346
356	0.9646100405
357	0.9638769271
358	0.9634663689
359	0.9628949897
360	0.9621824354
361	0.9615555722
362	0.9610529581
363	0.9604764114
364	0.9597303503
365	0.9590594063
366	0.9582872972
367	0.9574968863
368	0.9563499159
369	0.9555383834
370	0.9551386136
371	0.9542688193
372	0.953934738
373	0.9534554037
374	0.9517119714
375	0.9506879177
376	0.9501681464
377	0.9494635289
378	0.9490102107
379	0.9479937518
380	0.947609761
381	0.9468870817
382	0.9463288512
383	0.9459049738
384	0.9453848106
385	0.9448457893
386	0.94425703
387	0.9438810698
388	0.943161162
389	0.9414699864
390	0.9412177803
391	0.9398139707
392	0.9392360605
393	0.9384008927
394	0.9372665335
395	0.9359225352
396	0.9354383826
397	0.9339566794
398	0.9329207111
399	0.9315125495
400	0.9302317216
401	0.9297345638
402	0.9285175182
403	0.9278854887
404	0.9262610556
405	0.9258805033
406	0.9239550202
407	0.9230487416
408	0.9211864327
409	0.920387998
410	0.9189064541
411	0.9184847592
412	0.917417344
413	0.9169976762
414	0.9157149947
415	0.9146665207
416	0.9133946137
417	0.9125600539
418	0.9118940644
419	0.9114469301
420	0.9096878187
421	0.9084557369
422	0.9080116407
423	0.9074850751
424	0.907092854
425	0.9057954946
426	0.9041985969
427	0.9035030974
428	0.9022409178
429	0.901647716
430	0.9010163676
431	0.8999038041
432	0.8984763627
433	0.8976059171
434	0.8972691997
435	0.8966533493
436	0.8959981606
437	0.8955441764
438	0.8949301041
439	0.8946037263
440	0.8941827323
441	0.8936815668
442	0.892203044
443	0.8913859081
444	0.8909040957
445	0.8906767737
446	0.8897085487
447	0.8893313769
448	0.8886574795
449	0.8873319183
450	0.8869408503
451	0.8859418818
452	0.8855336422
453	0.8850719233
454	0.8844335802
455	0.8836561479
456	0.8830544088
457	0.8815836271
458	0.8812167791
459	0.8808547776
460	0.880126745
461	0.8787494875
462	0.8783831821
463	0.8777300174
464	0.8766554523
465	0.8760531269
466	0.8755294314
467	0.8738441316
468	0.8735292178
469	0.8730249946
470	0.8726144766
471	0.8716015398
472	0.8704477462
473	0.8700069125
474	0.8686220286
475	0.8677384848
476	0.8674345055
477	0.8662614236
478	0.8654203821
479	0.8650712918
480	0.8647623873
481	0.8641016341
482	0.8637222774
483	0.8623969215
484	0.8616940265
485	0.8611004459
486	0.8599908192
487	0.8593290753
488	0.8591088658
489	0.8579766007
490	0.8576436707
491	0.8572696556
492	0.8568837999
493	0.8563053291
494	0.8560698773
495	0.8545142216
496	0.853751886
497	0.8530932377
498	0.8523725211
499	0.8517577015
500	0.851249718
501	0.8507795278
502	0.8504158225
503	0.8499446205
504	0.8491045897
505	0.848563352
506	0.8473476783
507	0.8469672749
508	0.8465588574
509	0.8461410607
510	0.8457591817
511	0.8453013212
512	0.8437883314
513	0.8431959044
514	0.842332722
515	0.8419990253
516	0.8410415704
517	0.8407770483
518	0.8393026537
519	0.8388106547
520	0.8385741567
521	0.8382262594
522	0.837608745
523	0.8361242129
524	0.8347789665
525	0.8344014741
526	0.8329004846
527	0.8324364541
528	0.8321566896
529	0.8318756518
530	0.8316775858
531	0.8310127553
532	0.8296936833
533	0.8293426902
534	0.8289459715
535	0.8280518778
536	0.8276871829
537	0.8268010125
538	0.8261397561
539	0.8257897966
540	0.8249976196
541	0.8233396318
542	0.8225233595
543	0.8219994298
544	0.821303214
545	0.8208069502
546	0.8200963348
547	0.8191148804
548	0.8187072845
549	0.8183245721
550	0.8179237733
551	0.8175796244
552	0.8171282389
553	0.8167074653
554	0.8161082051
555	0.8158721999
556	0.8152598741
557	0.8147391527
558	0.8127297272
559	0.8124821132
560	0.8123176298
561	0.8119148063
562	0.811694176
563	0.8112681541
564	0.8110735473
565	0.8108299647
566	0.8104995325
567	0.8100339653
568	0.8097976939
569	0.8092900323
570	0.8088645599
571	0.8084405018
572	0.8076430037
573	0.807370829
574	0.8059665666
575	0.805675352
576	0.8044746929
577	0.8038819001
578	0.8032882205
579	0.8028087395
580	0.8021998548
581	0.8019689963
582	0.8014877826
583	0.8010924942
584	0.8007626042
585	0.8001785279
586	0.7997521716
587	0.7993351158
588	0.7990545413
589	0.7987277068
590	0.7982212266
591	0.797756681
592	0.7969674721
593	0.7965510382
594	0.7960452714
595	0.7949627921
596	0.7944914434
597	0.7936592726
598	0.7930595485
599	0.7926706489
600	0.7923228098
601	0.7915648307
602	0.7911711481
603	0.7905212321
604	0.7901154692
605	0.7897110797
606	0.789459289
607	0.7891492714
608	0.7886957021
609	0.7881417067
610	0.787795894
611	0.7872014597
612	0.7859683591
613	0.7848237867
614	0.7845387724
615	0.7841699669
616	0.7836093666
617	0.7817822473
618	0.7814251565
619	0.7808589671
620	0.7802775268
621	0.7793935553
622	0.7782878525
623	0.7774538861
624	0.7771520221
625	0.7764566677
626	0.7758161386
627	0.7753380648
628	0.7750451071
629	0.774733346
630	0.7739930827
631	0.7737596885
632	0.77346003
633	0.7730067424
634	0.7724230557
635	0.7720401032
636	0.771275867
637	0.7709294966
638	0.7707361278
639	0.7704245553
640	0.7700592527
641	0.7698534774
642	0.7692644355
643	0.7688797581
644	0.7685129869
645	0.767799291
646	0.7673484886
647	0.7667871203
648	0.7655810806
649	0.7653103289
650	0.7650425891
651	0.7646677393
652	0.7641917248
653	0.7637351314
654	0.7631898505
655	0.7627500064
656	0.7611051554
657	0.7603234389
658	0.7595028726
659	0.7588652696
660	0.7584717271
661	0.7581661137
662	0.7578263215
663	0.7576641048
664	0.7573531733
665	0.7569134623
666	0.7566497959
667	0.7564124354
668	0.7558048633
669	0.7553887231
670	0.7547123366
671	0.7545450637
672	0.7540293804
673	0.7534608821
674	0.7532256085
675	0.7523987299
676	0.7513377609
677	0.7501423344
678	0.7498757401
679	0.7496201364
680	0.7491350913
681	0.7488993179
682	0.7484676547
683	0.7479733587
684	0.7476838655
685	0.7473737306
686	0.7465028273
687	0.7461128674
688	0.7458157418
689	0.7454262679
690	0.745195138
691	0.7445460768
692	0.7442455157
693	0.743906441
694	0.7436185867
695	0.7430617121
696	0.7422835948
697	0.7420147123
698	0.7416521684
699	0.7413684506
700	0.7409078177
701	0.7406026275
702	0.7401018396
703	0.7396347743
704	0.7390670526
705	0.7384740417
706	0.7377522277
707	0.73732887
708	0.7371322445
709	0.7368167142
710	0.7366255215
711	0.7363149505
712	0.7360417819
713	0.7354649509
714	0.7349994807
715	0.7344748438
716	0.7341753245
717	0.7337890683
718	0.7334361055
719	0.733173139
720	0.7328916537
721	0.7324715183
722	0.7317387155
723	0.7315256726
724	0.7312241415
725	0.7303258219
726	0.7292502631
727	0.7288138554
728	0.728490548
729	0.7282173596
730	0.7279840948
731	0.7276882076
732	0.7274518369
733	0.7266576849
734	0.7263581223
735	0.7253548107
736	0.7251077498
737	0.7247401631
738	0.7244866219
739	0.7231855556
740	0.7229541647
741	0.7221608561
742	0.7219326446
743	0.7214078909
744	0.7210982953
745	0.7207908774
746	0.7198955085
747	0.7196796141
748	0.7193984383
749	0.7192380907
750	0.7187677774
751	0.7181616844
752	0.7179899063
753	0.7176526748
754	0.717317979
755	0.7170458579
756	0.7167816367
757	0.716429729
758	0.7162466214
759	0.7159616928
760	0.7153898668
761	0.715035416
762	0.7145326181
763	0.7143440145
764	0.7137401156
765	0.713074081
766	0.7127438574
767	0.7123422783
768	0.7120243284
769	0.7113277286
770	0.7110533403
771	0.7108111962
772	0.7104761323
773	0.710174681
774	0.7096579621
775	0.7094044103
776	0.70878267
777	0.7085135948
778	0.7075576621
779	0.7071865754
780	0.706912481
781	0.7066952092
782	0.7063917494
783	0.7060623321
784	0.7055956815
785	0.7053315423
786	0.7048193519
787	0.703893658
788	0.7036510599
789	0.702530968
790	0.7022060376
791	0.7019258264
792	0.7017061352
793	0.7014739541
794	0.7009851113
795	0.7005291048
796	0.7001457478
797	0.6997549173
798	0.699476136
799	0.6991915961
800	0.6988751811
801	0.6986515484
802	0.6983168756
803	0.6981302107
804	0.6979290681
805	0.6971160285
806	0.6967977108
807	0.6964141286
808	0.6958062757
809	0.6955737434
810	0.6952790755
811	0.6949881252
812	0.6947792272
813	0.6943892518
814	0.6941248291
815	0.6939244192
816	0.6935302834
817	0.6931418112
818	0.6927412181
819	0.6924670668
820	0.6914730163
821	0.6911827413
822	0.6908151719
823	0.6906264421
824	0.6900782976
825	0.689795364
826	0.6894938278
827	0.6891987805
828	0.6882600726
829	0.6879555839
830	0.6865317097
831	0.6862518657
832	0.6859717301
833	0.6857880735
834	0.6852305589
835	0.684583307
836	0.6839242769
837	0.6833172011
838	0.6825246864
839	0.6822158043
840	0.6813752833
841	0.6805101367
842	0.6794626112
843	0.6791043545
844	0.6786035048
845	0.67827829
846	0.677985884
847	0.6773904823
848	0.6769163376
849	0.6763995773
850	0.6758434708
851	0.6754834952
852	0.675049852
853	0.6747005936
854	0.67415044
855	0.6738350187
856	0.6735057788
857	0.6732980779
858	0.6726938032
859	0.6720475094
860	0.6711597393
861	0.6708160383
862	0.6705730719
863	0.6702657124
864	0.6698335014
865	0.6693679739
866	0.669061329
867	0.668051707
868	0.6677394343
869	0.667286929
870	0.6668956606
871	0.6659667019
872	0.6648930901
873	0.6647668708
874	0.6640752716
875	0.663902871
876	0.6636635059
877	0.6633626477
878	0.6629479992
879	0.6627535695
880	0.6623210788
881	0.661729994
882	0.6615605967
883	0.6613327996
884	0.6610885537
885	0.66083601
886	0.6604035829
887	0.6601668279
888	0.6599651904
889	0.6593689
890	0.6589472798
891	0.658729357
892	0.6578944633
893	0.6576171957
894	0.6573546297
895	0.6565246933
896	0.6561877805
897	0.6554660691
898	0.655222577
899	0.6549217878
900	0.6547470331
901	0.6545675848
902	0.6542802612
903	0.6538880457
904	0.6536525449
905	0.6532770076
906	0.6529409579
907	0.652364943
908	0.6521479367
909	0.6519064567
910	0.6517097869
911	0.6514692608
912	0.6505640055
913	0.6503659277
914	0.6500929352
915	0.6492177672
916	0.6489721505
917	0.6488096662
918	0.6485989804
919	0.6481612377
920	0.6480011778
921	0.6476633352
922	0.6473582015
923	0.6470606833
924	0.6461413671
925	0.6458443271
926	0.6454562987
927	0.6451323123
928	0.6444436793
929	0.644011631
930	0.6434534011
931	0.6430580323
932	0.6427903199
933	0.6421703709
934	0.6419862926
935	0.6416623982
936	0.6414229635
937	0.6404482314
938	0.6399977372
939	0.6398258487
940	0.639598343
941	0.6393329388
942	0.6390185222
943	0.6384696434
944	0.6380285251
945	0.6377949787
946	0.63697064
947	0.6364719432
948	0.6356232388
949	0.6351787794
950	0.6349297342
951	0.6344021036
952	0.6338693669
953	0.6336623641
954	0.6332695541
955	0.6328747454
956	0.6325460976
957	0.6322902297
958	0.6313170846
959	0.6310137961
960	0.6307974056
961	0.6303114119
962	0.6293820414
963	0.6291908372
964	0.6289948383
965	0.6286784909
966	0.6285456443
967	0.6283579606
968	0.6280991784
969	0.6278097522
970	0.6276169447
971	0.627142583
972	0.6267370981
973	0.6264242459
974	0.626210459
975	0.6259308357
976	0.625685892
977	0.6252249948
978	0.6248061726
979	0.6243273855
980	0.6235182112
981	0.6233038254
982	0.6230808536
983	0.6229026906
984	0.6225251066
985	0.6223381392
986	0.6217335307
987	0.6214079895
988	0.6211723797
989	0.6209194753
990	0.6207501286
991	0.6203567474
992	0.6197252892
993	0.619492402
994	0.619087799
995	0.6181431264
996	0.6179753256
997	0.6177407977
998	0.6174417883
999	0.6171558665
